state,year,residence,ccdf_type,text,sequence
NJ,2021,1,licensed_center,Licensed child care center,1
NJ,2021,1,accredited_center,"Licensed, accredited child care center",2
NJ,2021,1,registered_home,Registered family child care home,3
NJ,2021,1,accredited_home,"Registered, accredited family child care home",4
NJ,2021,1,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,2,licensed_center,Licensed child care center,1
NJ,2021,2,accredited_center,"Licensed, accredited child care center",2
NJ,2021,2,registered_home,Registered family child care home,3
NJ,2021,2,accredited_home,"Registered, accredited family child care home",4
NJ,2021,2,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,3,licensed_center,Licensed child care center,1
NJ,2021,3,accredited_center,"Licensed, accredited child care center",2
NJ,2021,3,registered_home,Registered family child care home,3
NJ,2021,3,accredited_home,"Registered, accredited family child care home",4
NJ,2021,3,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,4,licensed_center,Licensed child care center,1
NJ,2021,4,accredited_center,"Licensed, accredited child care center",2
NJ,2021,4,registered_home,Registered family child care home,3
NJ,2021,4,accredited_home,"Registered, accredited family child care home",4
NJ,2021,4,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,5,licensed_center,Licensed child care center,1
NJ,2021,5,accredited_center,"Licensed, accredited child care center",2
NJ,2021,5,registered_home,Registered family child care home,3
NJ,2021,5,accredited_home,"Registered, accredited family child care home",4
NJ,2021,5,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,6,licensed_center,Licensed child care center,1
NJ,2021,6,accredited_center,"Licensed, accredited child care center",2
NJ,2021,6,registered_home,Registered family child care home,3
NJ,2021,6,accredited_home,"Registered, accredited family child care home",4
NJ,2021,6,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,7,licensed_center,Licensed child care center,1
NJ,2021,7,accredited_center,"Licensed, accredited child care center",2
NJ,2021,7,registered_home,Registered family child care home,3
NJ,2021,7,accredited_home,"Registered, accredited family child care home",4
NJ,2021,7,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,8,licensed_center,Licensed child care center,1
NJ,2021,8,accredited_center,"Licensed, accredited child care center",2
NJ,2021,8,registered_home,Registered family child care home,3
NJ,2021,8,accredited_home,"Registered, accredited family child care home",4
NJ,2021,8,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,9,licensed_center,Licensed child care center,1
NJ,2021,9,accredited_center,"Licensed, accredited child care center",2
NJ,2021,9,registered_home,Registered family child care home,3
NJ,2021,9,accredited_home,"Registered, accredited family child care home",4
NJ,2021,9,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,10,licensed_center,Licensed child care center,1
NJ,2021,10,accredited_center,"Licensed, accredited child care center",2
NJ,2021,10,registered_home,Registered family child care home,3
NJ,2021,10,accredited_home,"Registered, accredited family child care home",4
NJ,2021,10,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,11,licensed_center,Licensed child care center,1
NJ,2021,11,accredited_center,"Licensed, accredited child care center",2
NJ,2021,11,registered_home,Registered family child care home,3
NJ,2021,11,accredited_home,"Registered, accredited family child care home",4
NJ,2021,11,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,12,licensed_center,Licensed child care center,1
NJ,2021,12,accredited_center,"Licensed, accredited child care center",2
NJ,2021,12,registered_home,Registered family child care home,3
NJ,2021,12,accredited_home,"Registered, accredited family child care home",4
NJ,2021,12,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,13,licensed_center,Licensed child care center,1
NJ,2021,13,accredited_center,"Licensed, accredited child care center",2
NJ,2021,13,registered_home,Registered family child care home,3
NJ,2021,13,accredited_home,"Registered, accredited family child care home",4
NJ,2021,13,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,14,licensed_center,Licensed child care center,1
NJ,2021,14,accredited_center,"Licensed, accredited child care center",2
NJ,2021,14,registered_home,Registered family child care home,3
NJ,2021,14,accredited_home,"Registered, accredited family child care home",4
NJ,2021,14,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,15,licensed_center,Licensed child care center,1
NJ,2021,15,accredited_center,"Licensed, accredited child care center",2
NJ,2021,15,registered_home,Registered family child care home,3
NJ,2021,15,accredited_home,"Registered, accredited family child care home",4
NJ,2021,15,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,16,licensed_center,Licensed child care center,1
NJ,2021,16,accredited_center,"Licensed, accredited child care center",2
NJ,2021,16,registered_home,Registered family child care home,3
NJ,2021,16,accredited_home,"Registered, accredited family child care home",4
NJ,2021,16,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,17,licensed_center,Licensed child care center,1
NJ,2021,17,accredited_center,"Licensed, accredited child care center",2
NJ,2021,17,registered_home,Registered family child care home,3
NJ,2021,17,accredited_home,"Registered, accredited family child care home",4
NJ,2021,17,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,18,licensed_center,Licensed child care center,1
NJ,2021,18,accredited_center,"Licensed, accredited child care center",2
NJ,2021,18,registered_home,Registered family child care home,3
NJ,2021,18,accredited_home,"Registered, accredited family child care home",4
NJ,2021,18,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,19,licensed_center,Licensed child care center,1
NJ,2021,19,accredited_center,"Licensed, accredited child care center",2
NJ,2021,19,registered_home,Registered family child care home,3
NJ,2021,19,accredited_home,"Registered, accredited family child care home",4
NJ,2021,19,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,20,licensed_center,Licensed child care center,1
NJ,2021,20,accredited_center,"Licensed, accredited child care center",2
NJ,2021,20,registered_home,Registered family child care home,3
NJ,2021,20,accredited_home,"Registered, accredited family child care home",4
NJ,2021,20,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
NJ,2021,21,licensed_center,Licensed child care center,1
NJ,2021,21,accredited_center,"Licensed, accredited child care center",2
NJ,2021,21,registered_home,Registered family child care home,3
NJ,2021,21,accredited_home,"Registered, accredited family child care home",4
NJ,2021,21,approved_home,"Approved homes (friend, family, neighbor, or in-home care)",5
