state,year,ccdf_type,ccdf_region,ccdf_time,age_min,age_max,spr
NJ,2021,licensed_center,1,fulltime,0,1.4,236.55
NJ,2021,licensed_center,1,parttime,0,1.4,118.27
NJ,2021,licensed_center,1,fulltime_special,0,1.4,283.86
NJ,2021,licensed_center,1,partime_special,0,1.4,141.93
NJ,2021,accredited_center,1,fulltime,0,1.4,248.37
NJ,2021,accredited_center,1,parttime,0,1.4,124.19
NJ,2021,accredited_center,1,fulltime_special,0,1.4,298.05
NJ,2021,accredited_center,1,partime_special,0,1.4,149.03
NJ,2021,registered_home,1,fulltime,0,1.4,154.8
NJ,2021,registered_home,1,parttime,0,1.4,77.4
NJ,2021,registered_home,1,fulltime_special,0,1.4,188
NJ,2021,registered_home,1,partime_special,0,1.4,94
NJ,2021,accredited_home,1,fulltime,0,1.4,162.4
NJ,2021,accredited_home,1,parttime,0,1.4,81.2
NJ,2021,accredited_home,1,fulltime_special,0,1.4,197.8
NJ,2021,accredited_home,1,partime_special,0,1.4,98.9
NJ,2021,approved_home,1,fulltime,0,1.4,93.2
NJ,2021,approved_home,1,parttime,0,1.4,46.6
NJ,2021,approved_home,1,fulltime_special,0,1.4,112.6
NJ,2021,approved_home,1,partime_special,0,1.4,56.3
NJ,2021,licensed_center,1,fulltime,1.5,2.4,196.48
NJ,2021,licensed_center,1,parttime,1.5,2.4,98.24
NJ,2021,licensed_center,1,fulltime_special,1.5,2.4,235.77
NJ,2021,licensed_center,1,partime_special,1.5,2.4,117.89
NJ,2021,accredited_center,1,fulltime,1.5,2.4,206.3
NJ,2021,accredited_center,1,parttime,1.5,2.4,103.15
NJ,2021,accredited_center,1,fulltime_special,1.5,2.4,247.56
NJ,2021,accredited_center,1,partime_special,1.5,2.4,123.78
NJ,2021,registered_home,1,fulltime,1.5,2.4,154.8
NJ,2021,registered_home,1,parttime,1.5,2.4,77.4
NJ,2021,registered_home,1,fulltime_special,1.5,2.4,188
NJ,2021,registered_home,1,partime_special,1.5,2.4,94
NJ,2021,accredited_home,1,fulltime,1.5,2.4,162.4
NJ,2021,accredited_home,1,parttime,1.5,2.4,81.2
NJ,2021,accredited_home,1,fulltime_special,1.5,2.4,197.8
NJ,2021,accredited_home,1,partime_special,1.5,2.4,98.9
NJ,2021,approved_home,1,fulltime,1.5,2.4,93.2
NJ,2021,approved_home,1,parttime,1.5,2.4,46.6
NJ,2021,approved_home,1,fulltime_special,1.5,2.4,112.6
NJ,2021,approved_home,1,partime_special,1.5,2.4,56.3
NJ,2021,licensed_center,1,fulltime,2.5,4,163.36
NJ,2021,licensed_center,1,parttime,2.5,4,81.68
