"SERIALNO","PUMA","ST","WGTP","state","residence_nj","family_structure","child1_age","child2_age","child3_age","child4_age","child5_age","parent1_age","parent2_age","disability_parent1","disability_parent2","disability_child1","disability_child2","disability_child3","disability_child4","disability_child5","cs_flag","breastfeeding","nontraditionalwork","immigration","parent1_immigration_status","parent2_immigration_status","parent1_max_work","maxshiftlength_parent1","maxworkweek_parent1","backtobackshifts_parent1","weekenddaysworked","parent1_first_max","backtobackshifts_parent2","workdaystart","user_trans_type","savings","vehicle1_value","vehicle2_value","vehicle1_owed","vehicle2_owed","debt_payment","privateplan_type","has_health_insurance","hlth_amt_parent_m","hlth_amt_family_m","hlth_costs_oop_m","userplantype","disability_medical_expenses_mnth","housing_override","housing_override_amt","home_type","fuel_source","energy_cost_override","energy_cost_override_amt","food_override","trans_override","trans_override_parent1_amt","trans_override_parent2_amt","other_override","disability_personal_expenses_m","disability_flag","fosterchild_flag","noncitizen_flag","felony_conviction_flag","parent2_max_work","maxshiftlength_parent2","maxworkweek_parent2","child1_foster_status","child2_foster_status","child3_foster_status","child4_foster_status","child5_foster_status","child1_immigration_status","child2_immigration_status","child3_immigration_status","child4_immigration_status","child5_immigration_status","itin","other_parent_timeoff_for_newborn","mother_timeoff_for_newborn","state_mctr","fli","tdi","baseline","compare_flag","snap_training","fullday_prek","fullday_k","recent_tanf_exit_flag","tanfwork","earnings_initial"
"2019HU0000274",2202,34,80,"New Jersey","Gloucester County",2,13,15,17,-1,-1,48,49,0,0,0,0,0,0,0,1,1,0,0,NA,NA,50,10,6,1,1,0.92,0.1,8.58,0,4915,15839,15858,0,0,0,"employer",1,0,0,796,"employer",0,1,1100,"house",1,1,363,612,0,0,0,509,0,NA,NA,NA,NA,45,9,52,0,0,0,0,0,1,1,1,-9,-9,NA,0.5,13.5,1,NA,NA,0,0,1,0,0,NA,1,263600
"2019HU0000439",307,34,64,"New Jersey","Bergen County",2,11,14,20,-1,-1,55,47,0,0,0,0,0,0,0,1,1,0,0,NA,NA,55,11,7,0.8,2,NA,NA,8.33,0,5195,22869,22887,11783,13261,0,"employer",1,0,0,693,"employer",0,1,2000,"house",1,1,200,771,0,0,0,653,0,NA,NA,NA,NA,32,6,24,0,0,0,0,0,1,1,4,-9,-9,NA,2.1,10,1,NA,NA,0,0,1,0,0,NA,1,95940
"2019HU0001021",1501,34,125,"New Jersey","Morris County",2,7,9,-1,-1,-1,40,42,0,0,0,0,0,0,0,0,1,0,0,NA,NA,40,8,5,0.4,0,0.67,1,11.17,0,5876,15668,15687,14810,16289,0,"employer",1,0,0,814,"employer",0,1,2500,"house",1,1,260,846,0,0,0,618,0,NA,NA,NA,NA,40,8,52,0,0,0,0,0,1,1,-9,-9,-9,NA,1.8,11.3,1,NA,NA,0,0,1,0,0,NA,1,116000
"2019HU0001203",1901,34,104,"New Jersey","Union County",2,5,11,-1,-1,-1,39,39,0,0,0,0,0,0,0,1,1,0,0,NA,NA,40,8,5,0.2,0,-0.67,0.7,7.08,0,6106,20126,20144,0,0,0,"employer",1,0,0,1072,"employer",0,1,2400,"house",1,1,213,560,0,0,0,574,0,NA,NA,NA,NA,25,5,52,0,0,0,0,0,1,1,-9,-9,-9,NA,1.6,15.1,1,NA,NA,0,0,1,0,0,NA,1,95000
"2019HU0001277",906,34,121,"New Jersey","Middlesex County",2,8,10,-1,-1,-1,38,38,0,0,0,0,0,0,0,1,1,0,0,NA,NA,45,9,6,1.1,1,-0.33,0.4,9.83,0,6457,16335,16354,16003,17481,0,"employer",1,0,0,586,"employer",0,1,2300,"house",1,1,433,682,0,0,0,655,0,NA,NA,NA,NA,60,12,52,0,0,0,0,0,1,1,-9,-9,-9,NA,1.4,14,1,NA,NA,0,0,1,0,0,NA,1,234000
"2019HU0001292",1104,34,53,"New Jersey","Monmouth County",2,13,13,15,16,-1,54,58,0,0,0,0,0,0,0,1,0,0,0,NA,NA,40,8,5,-9,0,NA,NA,7.5,0,3900,0,0,0,0,0,"employer",1,0,0,940,"employer",0,1,5000,"house",1,1,533,555,1,0,0,648,0,NA,NA,NA,NA,50,10,44,0,0,0,0,0,1,1,1,1,-9,NA,1.1,10.4,1,NA,NA,0,0,1,0,0,NA,1,433000
"2019HU0001416",102,34,147,"New Jersey","Atlantic County",2,13,16,-1,-1,-1,35,57,0,1,0,0,0,0,0,0,1,0,0,NA,NA,40,8,5,0.2,0,NA,NA,7.83,0,5236,19300,19318,14710,16188,0,"employer",1,0,0,982,"employer",982,1,1800,"house",1,1,408,673,0,0,0,607,1526,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,-9,-9,-9,NA,1.2,12.5,1,NA,NA,0,0,1,0,0,NA,1,91800
"2019HU0001551",2303,34,57,"New Jersey","Mercer County",2,13,16,-1,-1,-1,47,48,0,1,0,0,0,0,0,1,1,1,0,NA,NA,99,19,7,0.2,2,NA,NA,8.92,0,5646,25014,25032,15723,17202,0,NA,0,0,0,915,"employer",915,1,1800,"house",4,1,325,620,0,0,0,661,1518,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,-9,-9,-9,NA,0.7,9.8,1,NA,NA,0,0,1,0,0,NA,1,55000
"2019HU0001651",1001,34,75,"New Jersey","Somerset County",2,6,9,-1,-1,-1,39,38,0,0,0,0,0,0,0,1,1,0,0,NA,NA,50,10,6,-9,1,NA,NA,NA,0,4553,20328,20347,14158,15636,0,"employer",1,0,0,737,"employer",0,1,0,"house",1,1,890,622,1,0,0,716,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3,3,-9,-9,-9,NA,2,9.5,1,NA,NA,0,0,1,0,0,NA,1,80800
"2019HU0001708",305,34,23,"New Jersey","Bergen County",2,13,16,-1,-1,-1,55,56,0,0,0,0,0,0,0,1,1,0,0,NA,NA,60,12,7,0.2,2,-0.25,1,8.92,0,5784,24602,24620,0,0,0,"employer",1,0,0,913,"employer",0,1,6800,"house",1,1,711,790,0,0,0,577,0,NA,NA,NA,NA,50,10,52,0,0,0,0,0,1,1,-9,-9,-9,NA,0.5,11.1,1,NA,NA,0,0,1,0,0,NA,1,220800
