"SERIALNO","parent1_earnings_initial","parent2_earnings_initial","parent1_workhours_initial","parent2_workhours_initial","parent1_max_work","parent2_max_work_override_amt"
"2019HU0000274",158160,105440,50,45,50,45
"2019HU0001021",69600,46400,40,40,40,40
"2019HU0001203",57000,38000,40,25,40,40
"2019HU0001277",140400,93600,45,60,45,60
"2019HU0001292",259800,173200,40,50,40,50
"2019HU0001416",55080,36720,40,0,40,40
"2019HU0001551",33000,22000,99,0,99,40
"2019HU0001651",48480,32320,50,0,50,40
"2019HU0001708",132480,88320,60,50,60,50
"2019HU0001734",151800,101200,40,40,40,40
"2019HU0002109",52200,34800,50,0,50,40
"2019HU0002929",82800,55200,40,40,40,40
"2019HU0003164",137400,91600,40,40,40,40
"2019HU0003432",62580,41720,48,25,48,40
"2019HU0003985",54600,36400,50,0,50,40
"2019HU0004235",138180,92120,40,40,40,40
"2019HU0005017",38280,25520,40,0,40,40
"2019HU0005242",82800,55200,40,26,40,40
"2019HU0005355",743760,495840,60,55,60,55
"2019HU0005683",242580,161720,40,48,40,48
"2019HU0005859",99000,66000,40,40,40,40
"2019HU0005874",157200,104800,40,48,40,48
"2019HU0005890",79200,52800,40,40,40,40
"2019HU0006052",63000,42000,36,35,40,40
"2019HU0006279",21960,14640,30,0,40,40
"2019HU0006354",113736,75824,60,40,60,40
"2019HU0006669",291600,194400,50,0,50,40
"2019HU0006767",54000,36000,40,0,40,40
"2019HU0007016",84000,56000,50,40,50,40
"2019HU0007218",66000,44000,50,40,50,40
"2019HU0007488",31200,20800,60,17,60,40
"2019HU0007575",79800,53200,35,45,40,45
"2019HU0007580",126000,84000,40,28,40,40
"2019HU0008028",18600,12400,60,20,60,40
"2019HU0008107",173400,115600,60,15,60,40
"2019HU0008419",180000,120000,50,45,50,45
"2019HU0008572",142620,95080,30,40,40,40
"2019HU0009249",378000,252000,40,5,40,40
"2019HU0009261",87000,58000,40,30,40,40
"2019HU0009285",77280,51520,36,40,40,40
"2019HU0009302",70200,46800,40,23,40,40
"2019HU0009329",47700,31800,40,50,40,50
"2019HU0009395",192000,128000,40,50,40,50
"2019HU0010404",54000,36000,40,24,40,40
"2019HU0010652",31200,20800,50,50,50,50
"2019HU0010910",6000,4000,35,0,40,40
"2019HU0011121",36600,24400,40,40,40,40
"2019HU0011181",111000,74000,50,35,50,40
"2019HU0011792",121200,80800,40,40,40,40
"2019HU0012197",171000,114000,50,30,50,40
"2019HU0012764",24540,16360,40,0,40,40
"2019HU0012871",195000,130000,55,0,55,40
"2019HU0012981",54900,36600,40,40,40,40
"2019HU0013907",6000,4000,30,0,40,40
"2019HU0013918",69000,46000,40,40,40,40
"2019HU0014342",67200,44800,40,0,40,40
"2019HU0014446",217200,144800,40,45,40,45
"2019HU0014655",69600,46400,45,0,45,40
"2019HU0014793",85800,57200,42,40,42,40
"2019HU0014860",78000,52000,45,40,45,40
"2019HU0014966",5478,3652,12,40,40,40
"2019HU0015116",108600,72400,40,40,40,40
"2019HU0015864",153120,102080,50,7,50,40
"2019HU0015961",66600,44400,35,70,40,70
"2019HU0016108",82140,54760,40,0,40,40
"2019HU0016149",156600,104400,50,35,50,40
"2019HU0016204",144000,96000,60,35,60,40
"2019HU0016497",210000,140000,40,40,40,40
"2019HU0016537",97920,65280,44,0,44,40
"2019HU0016622",81000,54000,50,0,50,40
"2019HU0016951",93600,62400,40,40,40,40
"2019HU0017064",165000,110000,55,40,55,40
"2019HU0017221",79320,52880,40,40,40,40
